Study Hours,Sleep Hours,Attendance (%),Grades
4.9,4.8,53,40
5.6,9,73,43
3.1,5.4,42,32
5,8.1,78,35
6.9,9.6,64,47
3.7,9.3,71,40
6.1,5.4,45,62
9,8,85,68
8.4,5.8,65,56
7.9,8.6,81,52
3.1,6.5,54,34
3.5,5.9,62,34
3.4,8.8,49,44
4.4,6.3,60,33
3.8,8.4,50,34
3.9,8.3,60,33
3.3,8.1,52,35
3.7,7.2,64,36
2.5,9.3,46,33
3.8,9.6,69,35
3.4,9.8,65,48
8.5,8.4,73,64
1.8,8.2,48,35
7.7,5.6,53,52
3.5,9.4,40,35
3.6,8.3,58,32
3.4,8.2,65,34
6.3,8.6,57,47
4.8,8.7,66,58
1.9,8.5,44,34
5.8,7.6,71,40
7.6,6.6,60,51
6.9,8.6,60,47
4,7.9,67,34
6.1,9.5,56,43
3.6,9.7,51,34
3.3,7.3,42,35
3.9,8.2,65,34
8.4,8,96,58
1.7,7.3,40,34
6.2,8.8,51,46
5,9.8,55,45
3.2,8.9,40,36
1.4,6,42,35
6.3,7.1,65,46
7.9,8.4,64,52
3.8,5,60,34
5.7,9.8,46,41
2.9,6.3,41,34
3.5,8.5,53,35
3.5,7.9,49,34
3.7,9.9,62,35
3.8,6.5,61,34
3.3,8.3,47,33
4.9,9.4,67,37
3,6.2,52,34
2.9,8.2,55,34
7,8.4,55,52
4.9,5.3,62,36
3.6,8.9,41,42
6.1,9.1,55,46
5.1,7.8,60,37
3.4,8.6,45,34
8.2,7,94,57
3.9,8.6,84,33
2.8,9,51,35
1.5,9.4,42,35
5.3,8.6,63,37
4.3,5.9,68,35
8.4,7,52,60
8.2,5.9,75,58
4.3,9.7,66,34
4.9,5.7,57,36
3.7,7.1,58,43
3.8,8.1,59,33
3.6,9.4,50,33
3.4,9.1,43,34
1.1,8.8,44,34
5.3,8.2,51,39
4.5,9,61,47
3.8,9.2,74,35
4,9.5,49,50
3.5,7.4,53,41
7.4,8.2,48,54
3.4,8.6,56,35
1.7,8.3,45,35
6.5,9,61,46
9.4,6.6,67,62
6.9,8.9,69,48
4.1,8.9,68,35
5.8,8.6,51,41
4.5,8.1,54,34
8.6,6,95,58
8.4,5.3,97,55
6.4,6,66,46
1.9,6.7,42,34
4.1,10,52,35
3.3,5.9,54,34
3.6,7,52,34
2.2,9.6,46,34
1.3,9.1,56,34
4.8,9.1,75,35
2.4,8.4,44,35
8.9,7,86,59
3.2,9.2,41,34
5.4,8.2,46,57
7.5,7.3,61,52
2.7,9.7,43,33
3.9,5.4,51,45
4,6.1,75,35
3.7,7.2,69,32
6.7,6.5,70,47
4.5,7,54,34
3.7,5.9,71,34
5.7,7.5,61,40
7,9,65,50
3.5,8.9,64,46
7.6,7.5,59,55
3.8,9,70,34
4.7,7.9,67,34
3.3,9.8,44,33
5.4,8.3,60,39
3.6,8.8,59,33
4,8,66,34
4.2,8.2,48,42
7.5,8.5,77,52
3.8,5.7,59,34
6.8,8.4,50,47
8.3,7,95,57
8.1,8.5,72,54
6.3,9.2,46,45
6.9,9.2,66,49
7.1,9,48,74
2.9,6.7,46,34
3.7,8.6,57,36
5.7,5.6,58,39
3.6,7.4,57,33
2.2,9.3,42,36
3.4,8.9,55,33
3.7,8.7,45,54
4,9.3,64,34
1.5,10,46,34
4.3,5.8,52,34
0.9,8.3,50,33
7.2,9.3,50,53
3.7,9.5,54,39
3.1,9.6,49,44
2.8,6.5,40,34
3.7,8,77,35
3,9.9,43,34
8.8,7.6,93,59
4.7,9.7,43,33
1.2,5.8,48,34
1.3,5.3,47,33
3.6,9.8,59,34
4.4,6.6,68,32
0.8,8.3,49,33
6.1,7.4,46,42
1,7.9,57,35
7.9,5.1,44,55
3.4,7.1,59,35
3.5,9.4,57,34
3.9,10,60,52
5.8,9.4,74,41
7.4,9.6,48,62
3.5,9,56,34
3.3,9.9,41,34
6,9.6,79,44
1.2,8.7,47,35
4.9,8.5,54,44
3.9,6.1,61,34
7.9,8.4,51,60
3,8.5,85,35
3.8,8.9,70,32
3.8,9.6,69,35
4.7,7.2,76,34
3.9,8.9,71,34
1.6,9.2,58,33
7.8,6.4,49,54
5.5,8,51,41
4.9,6.5,63,37
3.9,6.2,54,36
3.5,7.3,61,34
3.7,9.7,79,35
